Category,Name,Repository,Description,Docker Support,MCP Support,Local LLM,Specialization,Stars,Language,Status
Multi-Agent Framework,Block Goose,https://github.com/block/goose,"Open source, extensible AI agent that automates engineering tasks",Yes - Built-in,Yes - Native,Yes - Any model,General development automation,20k+,Rust/TypeScript,Active
Coding Agent,Aider,https://github.com/Aider-AI/aider,AI pair programming in terminal with git integration,Yes - Official images,Partial - Tools integration,"Yes - Ollama, local models","Code editing, git workflows",30k+,Python,Active
SWE Agent,SWE-Agent,https://github.com/SWE-agent/SWE-agent,Agent for automated software engineering tasks,Yes - Container-based,Via SWE-ReX,Yes - Multiple providers,"Bug fixing, issue resolution",15k+,Python,Active
Multi-Agent Platform,CrewAI,https://github.com/joaomdmoura/crewai,Framework for orchestrating role-playing autonomous AI agents,Yes - Docker Compose templates,Third-party integrations,Yes - Ollama support,Multi-agent collaboration,25k+,Python,Active
Agent Framework,PydanticAI,https://github.com/pydantic/pydantic-ai,Type-safe agent framework with tool integration,Yes - Container deployments,Yes - Built-in MCP server support,Yes - Multiple providers,Type-safe agent development,10k+,Python,Active
VS Code Extension,Kilo Code,https://github.com/Kilo-Org/kilocode,Open source AI coding assistant with MCP marketplace,Via VS Code dev containers,Yes - Marketplace integration,Yes - Multiple providers,"IDE integration, code generation",5k+,TypeScript,Active
Terminal Agent,OpenCode (SST),https://github.com/sst/opencode,AI coding agent built for the terminal,Yes - Containerized deployment,Planning,Yes - Provider agnostic,Terminal-based development,3k+,TypeScript,Active
Self-Improving Agent,Self-Improving Coding Agent,https://github.com/MaximeRobeyns/self_improving_coding_agent,Agent that works on its own codebase,Yes - Required for safety,Custom implementation,Yes,"Self-modification, meta-programming",1k+,Python,Active
MCP Server,Docker MCP Toolkit,Built into Docker Desktop,200+ curated MCP servers with one-click deployment,Yes - Native,Yes - Core functionality,Client agnostic,"Tool orchestration, security",N/A,Various,Active
MCP Server,GitHub MCP,https://github.com/modelcontextprotocol/servers,GitHub integration for AI agents,Yes - Containerized,Yes - Reference implementation,Client agnostic,"Repository management, issues, PRs",2k+,Python/TypeScript,Active
MCP Server,File System MCP,https://github.com/modelcontextprotocol/servers,File operations for AI agents,Yes,Yes - Core server,Client agnostic,"File management, search, editing",2k+,Python,Active
MCP Server,Database MCP,https://github.com/modelcontextprotocol/servers,Database access for AI agents,Yes,Yes,Client agnostic,"SQL operations, schema management",2k+,Python,Active
LLM Infrastructure,Ollama,https://github.com/ollama/ollama,Run large language models locally,Yes - Official images,Via clients,Yes - Core purpose,Local model serving,90k+,Go,Active
LLM Interface,Open WebUI,https://github.com/open-webui/open-webui,User-friendly AI interface for local models,Yes - Primary deployment method,Yes - Recent addition,Yes - Ollama integration,"Web UI, offline operation",50k+,Python/JavaScript,Active
Development Stack,Docker Model Runner,Built into Docker Desktop,Run LLMs locally in Docker containers,Yes - Native feature,Yes - Integration ready,Yes - Core purpose,Containerized model serving,N/A,Various,Active
